scene,N,subset,solver_seed,render_realization,reconstruction_error,ho_psnr,query_light,final_objective,grad_norm,proj_grad_norm,tail_rel_change,tail_range_abs,conv_finite,old_style_converged,iters,trace_file
conf_cube_axis,2,"20,24",40000,0,0.02600969560444355,15.573970173756644,0,7.051847205730155e-05,0.00023724484702648932,1.3792529106140137,0.024304206001144243,,1,0,1200,conf_cube_axis_N2_20-24_s40000_r0.npy
conf_cube_axis,2,"20,24",40001,0,0.0263354629278183,15.5480336847888,0,7.02973993611522e-05,0.0002303486806633528,1.3219366073608398,0.02579965784138674,,1,0,1200,conf_cube_axis_N2_20-24_s40001_r0.npy
conf_cube_axis,2,"18,25",40000,0,0.005464015528559685,19.21465538124125,0,6.92565954523161e-05,0.00034588540109383874,2.4649622440338135,0.016871260067443015,,1,0,1200,conf_cube_axis_N2_18-25_s40000_r0.npy
conf_cube_axis,2,"18,25",40001,0,0.005357088055461645,19.153534921348793,0,6.895932892803103e-05,0.00027941003687225694,1.9252220392227173,0.02348639933452195,,1,0,1200,conf_cube_axis_N2_18-25_s40001_r0.npy
conf_cube_axis,3,"6,16,25",40000,0,0.0031688872259110212,18.245456887516816,0,6.307506555458531e-05,0.0002760186334691,1.9979349374771118,0.01629685922354568,,1,0,1400,conf_cube_axis_N3_6-16-25_s40000_r0.npy
conf_cube_axis,3,"6,16,25",40001,0,0.003171277465298772,18.244201107178316,0,6.320036482065916e-05,0.00026428110834883424,1.8945766687393188,0.014435900104441624,,1,0,1400,conf_cube_axis_N3_6-16-25_s40001_r0.npy
conf_cube_axis,3,"1,22,30",40000,0,0.05850164592266083,12.720333765300131,0,6.887446215841919e-05,0.0001788365850894839,0.8666125535964966,0.02296072462870934,,1,0,1400,conf_cube_axis_N3_1-22-30_s40000_r0.npy
conf_cube_axis,3,"1,22,30",40001,0,0.057977188378572464,12.730244685331673,0,6.887641211505979e-05,0.0001790436466315804,0.8688036799430847,0.015765607308957607,,1,0,1400,conf_cube_axis_N3_1-22-30_s40001_r0.npy
conf_cube_axis,5,"5,17,19,30,31",40000,0,0.0031028948724269867,18.17363599357262,0,6.126920925453305e-05,0.0002659824234806163,1.9681445360183716,0.011704740750733661,,1,0,1800,conf_cube_axis_N5_5-17-19-30-31_s40000_r0.npy
conf_cube_axis,5,"5,17,19,30,31",40001,0,0.0031024711206555367,18.159826217147817,0,6.181668140925467e-05,0.00027632644178817524,2.0491292476654053,0.016347889953178076,,1,0,1800,conf_cube_axis_N5_5-17-19-30-31_s40001_r0.npy
conf_cube_axis,5,"2,5,8,12,21",40000,0,0.0028426614589989185,21.468717952383365,0,7.343162724282593e-05,0.0002985787816001997,2.048858880996704,0.013328688238218868,,1,0,1800,conf_cube_axis_N5_2-5-8-12-21_s40000_r0.npy
conf_cube_axis,5,"2,5,8,12,21",40001,0,0.002838179701939225,21.518109036164027,0,7.329665095312521e-05,0.00030654594110480257,2.1063826084136963,0.01675472499743146,,1,0,1800,conf_cube_axis_N5_2-5-8-12-21_s40001_r0.npy
conf_cube_axis,8,"6,7,10,13,19,21,25,31",40000,0,0.0030045483727008104,19.13817815381761,0,6.574967119377106e-05,0.0002712668562957106,1.9340304136276245,0.014624692610002517,,1,0,2400,conf_cube_axis_N8_6-7-10-13-19-21-25-31_s40000_r0.npy
conf_cube_axis,8,"6,7,10,13,19,21,25,31",40001,0,0.0029970090836286545,19.14649403694996,0,6.629196286667138e-05,0.00027637198123612813,1.9589002132415771,0.010668637303648802,,1,0,2400,conf_cube_axis_N8_6-7-10-13-19-21-25-31_s40001_r0.npy
conf_cube_axis,8,"0,3,7,9,10,13,17,26",40000,0,0.002857844578102231,23.45939040775402,1,7.161327812355012e-05,0.0002820850254594981,1.9274873733520508,0.013160742229529343,,1,0,2400,conf_cube_axis_N8_0-3-7-9-10-13-17-26_s40000_r0.npy
conf_cube_axis,8,"0,3,7,9,10,13,17,26",40001,0,0.0028643279802054167,23.455926879086366,1,7.130292215151712e-05,0.000284591185366757,1.9528403282165527,0.014018042614955675,,1,0,2400,conf_cube_axis_N8_0-3-7-9-10-13-17-26_s40001_r0.npy
conf_prism8,2,"0,1",40000,0,0.0032354583963751793,19.670327732273257,2,7.185034337453544e-05,0.00035654260304694463,2.6444826126098633,0.015161463715170253,,1,0,1200,conf_prism8_N2_0-1_s40000_r0.npy
conf_prism8,2,"0,1",40001,0,0.0032357778400182724,19.672771653063524,2,7.196715159807354e-05,0.00035131021337561283,2.611940383911133,0.0169522267010006,,1,0,1200,conf_prism8_N2_0-1_s40001_r0.npy
conf_prism8,2,"9,11",40000,0,0.011717448011040688,15.679319426133233,0,6.558569293702021e-05,0.00027263012620669716,1.7106229066848755,0.05366213044133761,,1,0,1200,conf_prism8_N2_9-11_s40000_r0.npy
conf_prism8,2,"9,11",40001,0,0.011537603102624416,15.707057633724435,0,6.526801007566974e-05,0.0002796245945745204,1.7992944717407227,0.052226179820736435,,1,0,1200,conf_prism8_N2_9-11_s40001_r0.npy
conf_prism8,3,"15,16,21",40000,0,0.003104044357314706,20.45214198944333,0,7.468208787031472e-05,0.0003754242114143126,2.7462947368621826,0.012579319165552442,,1,0,1400,conf_prism8_N3_15-16-21_s40000_r0.npy
conf_prism8,3,"15,16,21",40001,0,0.003103206865489483,20.506640424754195,0,7.491339056286961e-05,0.00033891299940113273,2.309208631515503,0.015284355563480949,,1,0,1400,conf_prism8_N3_15-16-21_s40001_r0.npy
conf_prism8,3,"12,29,31",40000,0,0.026768328621983528,17.93738066637705,0,9.068604413187131e-05,0.00030352059324461033,1.5744247436523438,0.04516529676555174,,1,0,1400,conf_prism8_N3_12-29-31_s40000_r0.npy
conf_prism8,3,"12,29,31",40001,0,0.026550905779004097,17.95991694870654,0,9.102639160118997e-05,0.00031700078978153705,1.7454873323440552,0.03944495903144956,,1,0,1400,conf_prism8_N3_12-29-31_s40001_r0.npy
conf_prism8,5,"4,11,12,19,20",40000,0,0.0035193506628274918,15.004846409135428,0,4.855769293499179e-05,0.00027841901238988666,2.271564245223999,0.022260678211105247,,1,0,1800,conf_prism8_N5_4-11-12-19-20_s40000_r0.npy
conf_prism8,5,"4,11,12,19,20",40001,0,0.00351733504794538,15.021782605023073,0,4.8771369620226324e-05,0.0002856602493000679,2.413719415664673,0.020635420759930575,,1,0,1800,conf_prism8_N5_4-11-12-19-20_s40001_r0.npy
conf_prism8,5,"10,12,16,21,22",40000,0,0.003169582225382328,19.54249451787942,0,6.772310734959319e-05,0.0003306963084441262,2.4107449054718018,0.01403888118268208,,1,0,1800,conf_prism8_N5_10-12-16-21-22_s40000_r0.npy
conf_prism8,5,"10,12,16,21,22",40001,0,0.003162302076816559,19.567177135904583,0,6.76895651849918e-05,0.0003303123752597502,2.4046146869659424,0.013933403223391393,,1,0,1800,conf_prism8_N5_10-12-16-21-22_s40001_r0.npy
conf_prism8,8,"0,6,9,11,13,25,27,28",40000,0,0.0032924064435064793,41.33515204244985,1,6.955773278605193e-05,0.0003322811766624052,2.354276418685913,0.01644811234210417,,1,0,2400,conf_prism8_N8_0-6-9-11-13-25-27-28_s40000_r0.npy
conf_prism8,8,"0,6,9,11,13,25,27,28",40001,0,0.0032888492569327354,41.34652797338192,1,7.014215952949598e-05,0.00033022783382566573,2.320767879486084,0.017281267682994192,,1,0,2400,conf_prism8_N8_0-6-9-11-13-25-27-28_s40001_r0.npy
conf_prism8,8,"1,3,7,9,10,18,22,23",40000,0,0.003257181029766798,17.86345285239685,0,6.125133950263262e-05,0.00031269326870552545,2.3486483097076416,0.014307842895019433,,1,0,2400,conf_prism8_N8_1-3-7-9-10-18-22-23_s40000_r0.npy
conf_prism8,8,"1,3,7,9,10,18,22,23",40001,0,0.0032565947622060776,17.874842236831398,0,6.135497824288905e-05,0.00031327897908314795,2.3473269939422607,0.01961212509030468,,1,0,2400,conf_prism8_N8_1-3-7-9-10-18-22-23_s40001_r0.npy
conf_cylinder_r03_d12,2,"4,8",40000,0,0.004868009593337774,22.502261216693327,0,0.00010116558405570686,0.0004741604730257118,2.505474805831909,0.0376228810914082,,1,0,1200,conf_cylinder_r03_d12_N2_4-8_s40000_r0.npy
conf_cylinder_r03_d12,2,"4,8",40001,0,0.004919263534247875,22.548027970179195,0,0.00010120158549398184,0.0004682145054663679,2.4759232997894287,0.02916923094620477,,1,0,1200,conf_cylinder_r03_d12_N2_4-8_s40001_r0.npy
